"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",43860,80154090,80197950,860685.4153205,3770777.6144520002,4631463.0297725,7530028,26204.85
"BANKNIFTY",15397,1600220,1615617,319011.017187,292657.044344,611668.061531,804372,59730.3
"MCX",16126,124144,140270,205079.524975,33656.98145,238736.506425,51418,10103
"ADANIENT",23020,131104,154124,163924.6073466,23371.383837600002,187295.9911842,113618,2282
"M&M",17661,133765,151426,133363.79488,21338.8465,154702.64138,133895,3761
"GAIL",25787,116184,141971,142016.724675,11351.84715,153368.571825,61706,176.28
"RELIANCE",17076,138558,155634,135002.31175,15158.8403,150161.15205,327735,1569
"PAYTM",13288,76630,89918,128585.36896,18948.938865,147534.307825,47111,1320
"ICICIBANK",10395,60850,71245,101759.9163,7733.00283,109492.91913,214722,1388.4
"BHARTIARTL",10013,41429,51442,100884.414095,5024.9304275,105909.3445225,140684,2100
"SBIN",12143,79392,91535,89712.43245,8589.41655,98301.849,168834,976.35
"HDFCBANK",15644,69108,84752,87330.39282,5485.19785,92815.59067,456731,1006.7
"SHRIRAMFIN",10710,32802,43512,76107.94191,5660.7849375,81768.7268475,88233,855.95
"VBL",14424,74354,88778,71994.210415,8790.813905,80785.02432,61459,480.5
"KOTAKBANK",8275,51990,60265,70763.19648,6061.54268,76824.73916,127987,2125.1
"LAURUSLABS",7657,37223,44880,67107.2994,8724.10505,75831.40445,32152,1032.5
"SRF",10122,94983,105105,59457.62774,12080.2745,71537.90224,37228,2933
"BSE",5630,29605,35235,61819.8398625,9053.8101375,70873.65,52342,2900
"ADANIGREEN",10155,29966,40121,64008.09684,5397.96732,69406.06416,57405,1047.6
"VEDL",9976,54530,64506,60843.52886,7235.312975,68078.841835,137571,527.5
"LTF",4456,20877,25333,59540.632492799996,6221.2873572,65761.91985,20733,311.2
"BAJAJ-AUTO",8870,55019,63889,60326.5647975,5374.212225,65700.7770225,78936,9080
"HAL",8533,55528,64061,58343.62716,7183.178235,65526.805395,114127,4540
"INFY",9469,42930,52399,59308.41856,4492.09508,63800.51364,243999,1558.1
"MARUTI",7088,60287,67375,56852.752755,5466.385585,62319.13834,92490,15890
"HINDZINC",9072,41261,50333,54259.579395,5803.63448,60063.213875,49281,485.1
"ETERNAL",7808,17524,25332,57594.423665,2393.3064625,59987.7301275,154812,300.5
"ASHOKLEY",6952,33258,40210,54391.738,5142.819,59534.557,44266,158.26
"MIDCPNIFTY",1901,97678,99579,37402.190021999995,22045.60639,59447.796411999996,71981,14042.95
"HINDUNILVR",7363,87313,94676,54558.09312,4309.68024,58867.77336,100834,2468
"ADANIPORTS",6868,49273,56141,49988.4041125,7049.5525675,57037.95668,73811,1516.5
"HEROMOTOCO",5523,34625,40148,51599.30364,5253.22248,56852.52612,63959,6200
"AXISBANK",6484,23462,29946,52195.813875,2603.79775,54799.611625,144655,1282.8
"BEL",8403,33741,42144,49605.2547675,3282.6190275,52887.873795,125970,411.55
"TCS",8872,54357,63229,49047.3041625,3647.2464875,52694.55065,242356,3135.9
"BAJFINANCE",5761,34039,39800,45094.09035,4314.066075,49408.156425,163949,1038
"IDEA",6351,17933,24284,45848.09619,3427.612215,49275.708405,128657,9.97
"JSWSTEEL",5862,17926,23788,46329.334155,2383.722405,48713.05656,92005,1163.6
"GMRAIRPORT",5499,33138,38637,41706.048555,6563.2176225,48269.2661775,43832,108.4
"LT",6020,31050,37070,43248.06885,2951.41679,46199.48564,110728,4080
"TMPV",14768,57401,72169,42511.63344,2513.40984,45025.04328,209097,357.1
"BHEL",5266,20788,26054,40515.5779875,3843.6250125,44359.203,44671,290.2
"BANKBARODA",4793,18744,23537,40920.1214175,3021.1871625,43941.30858,52190,290
"IEX",6599,52629,59228,34916.554875,6204.243,41120.797875,35474,139.75
"ABCAPITAL",3421,13001,16422,37991.88229,2982.758,40974.64029,35955,357.6
"CUMMINSIND",4123,19184,23307,37097.0813,3847.96836,40945.04966,23787,4470
"KAYNES",6338,52381,58719,35175.18968,5675.24244,40850.43212,58004,5512
"MOTHERSON",5056,17730,22786,36483.78768,3369.936165,39853.723845,41450,116.35
"FEDERALBNK",2759,14219,16978,35490.358,3056.1645,38546.5225,24450,257.7
"HINDALCO",6159,26152,32311,35190.50654,2585.30111,37775.80765,147022,809.5
"EICHERMOT",2799,24016,26815,33428.16858,4133.4266575,37561.5952375,43351,7045
"CANBK",3341,13894,17235,34351.197525,3144.8952,37496.092725,40712,151.5
"TATASTEEL",3591,18020,21611,33445.44665,2473.94565,35919.3923,89599,168.14
"COFORGE",4450,22103,26553,32156.7246375,3614.7019875,35771.426625,53061,1910.7
"INDUSINDBK",5433,18049,23482,32803.48778,2283.97883,35087.46661,91728,858.1
"NATIONALUM",3288,6992,10280,32491.938,1767.948375,34259.886375,29866,260.4
"INDHOTEL",4205,17322,21527,31450.9797,2142.0465,33593.0262,39375,744.45
"TVSMOTOR",4875,22154,27029,30468.59886,2895.7927775,33364.3916375,63917,3535
"DIXON",3836,35701,39537,28158.34154,4588.971805,32747.313345,78525,14618
"PNB",2944,11655,14599,29543.4288,2507.0512,32050.48,44864,124.69
"LTIM",3209,13677,16886,29384.770635,2443.390185,31828.16082,23933,6116
"HDFCLIFE",3347,19002,22349,28434.43603,2247.24522,30681.68125,40984,767.2
"ANGELONE",4040,19813,23853,27147.071975,3518.84905,30665.921025,23993,2708
"GLENMARK",3745,15287,19032,27511.355025,2593.9529625,30105.3079875,55218,1948.8
"WIPRO",3718,14997,18715,28003.869,1784.3412,29788.2102,63986,249.55
"HCLTECH",4675,24115,28790,26799.12354,2197.22804,28996.35158,75315,1623.8
"JIOFIN",3671,16852,20523,26649.680795,1762.575905,28412.2567,98892,306.35
"AUROPHARMA",3934,9095,13029,26760.68648,1366.586375,28127.272855,54768,1219.1
"NYKAA",3146,7427,10573,26434.895,1455,27889.895,25282,267.02
"POWERGRID",5168,12721,17889,26806.37192,900.07484,27706.44676,59523,270
"CHOLAFIN",2406,6593,8999,26223.545375,1382.9645625,27606.5099375,26388,1736.1
"SBILIFE",3404,13617,17021,25427.0484,1308.1858875,26735.2342875,29494,1970
"SAMMAANCAP",3723,11374,15097,24788.74449,1946.18516,26734.92965,43842,154.29
"TATAPOWER",4267,25145,29412,24368.25108,2334.60759,26702.85867,74779,389.8
"ASIANPAINT",3202,25764,28966,23123.78825,2608.6739,25732.46215,71324,2872.6
"SUNPHARMA",3689,22548,26237,23661.429645,2000.277545,25661.70719,57810,1832
"DLF",4051,9712,13763,24416.37165,1066.301445,25482.673095,82973,724.6
"TITAN",3383,16928,20311,23330.4459325,1837.736075,25168.1820075,76718,3900
"PERSISTENT",3678,11073,14751,23645.96538,1470.90243,25116.86781,30742,6360
"TECHM",2498,13009,15507,22872.47376,2060.34468,24932.81844,53411,1515
"TRENT",5236,31059,36295,22450.29527,2235.86674,24686.16201,130967,4251.5
"AUBANK",2450,5639,8089,23417.0434,1013.0849,24430.1283,25398,952.95
"SAIL",3383,8515,11898,21731.41397,1356.58497,23087.99894,45830,135
"LODHA",4024,14829,18853,21085.66944,1790.54352,22876.21296,32599,1150.5
"BHARATFORG",2944,8454,11398,21130.8452,1306.3969,22437.2421,22996,1436.5
"ITC",3225,17173,20398,20976.9456,1147.60016,22124.54576,156417,404.3
"GODREJCP",3598,5692,9290,20804.9321,582.7492,21387.6813,25925,1145
"ASTRAL",3238,9609,12847,19875.31897,1065.6832075,20941.0021775,28453,1440
"GRASIM",2833,8567,11400,19524.025675,764.074175,20288.09985,81706,2739
"BIOCON",1889,6737,8626,18974.35275,1275.48975,20249.8425,26923,398.6
"KALYANKJIL",3127,11436,14563,18640.740735,1589.62507,20230.365805,35086,505.7
"IIFL",1953,6286,8239,18679.06062,1518.45045,20197.51107,13157,580
"UNIONBANK",2807,6476,9283,19144.6310775,998.00211,20142.6331875,29051,153.26
"SUZLON",4328,10992,15320,19201.8068625,898.940815,20100.7476775,52558,54.12
"YESBANK",2666,8156,10822,19119.02667,829.29083,19948.3175,50562,22.93
"LUPIN",2053,8745,10798,18251.5197275,1340.116035,19591.6357625,32861,2080.5
"FORTIS",2603,7155,9758,18561.81978,925.6744925,19487.4942725,25299,920
"MFSL",2653,7862,10515,18293.14856,1037.0438,19330.19236,23946,1702
"INDIGO",2035,8511,10546,18088.87866,1189.59687,19278.47553,66190,5903
"APOLLOHOSP",1927,10086,12013,17787.6653625,1234.9203,19022.5856625,37515,7337.5
"JINDALSTEL",2737,7469,10206,18022.5898125,951.8326875,18974.4225,27680,1049
"NTPC",3572,14933,18505,17598.5736,1025.0604,18623.634,87523,326.7
"BAJAJFINSV",3281,16679,19960,17313.990175,1306.56865,18620.558825,100531,2094.1
"VOLTAS",3368,10785,14153,17265.733425,1037.1682125,18302.9016375,42671,1374.5
"ONGC",3085,9999,13084,17031.4119,919.7577,17951.1696,59917,242.95
"IDFCFIRSTB",2244,7532,9776,16805.5051325,997.8814825,17803.386615,56767,80.2
"UPL",1640,4647,6287,17030.41235,759.4876625,17789.9000125,33365,757.4
"MUTHOOTFIN",1559,7814,9373,16184.268155,1589.19574,17773.463895,20923,3739.9
"TATACONSUM",2611,6705,9316,16937.97534,816.7753,17754.75064,35471,1171.7
"MARICO",1960,3593,5553,17073.37968,401.4672,17474.84688,33605,716.3
"EXIDEIND",2337,10953,13290,15788.55222,1349.16084,17137.71306,27106,374.95
"NUVAMA",2626,16820,19446,14865.32111,2149.1029475,17014.4240575,10135,7452
"ULTRACEMCO",2779,13430,16209,16226.269735,713.21709,16939.486825,71467,11585
"TIINDIA",2874,6170,9044,16195.02362,651.93442,16846.95804,17231,2785
"PFC",3321,12750,16071,15764.34912,1047.20083,16811.54995,97938,362.8
"IOC",1967,8671,10638,15637.5760125,1052.93955,16690.5155625,31628,161.87
"RECLTD",3337,12842,16179,15548.9747975,1005.4954225,16554.47022,112852,360.55
"INDUSTOWER",2278,4654,6932,15668.25893,535.26081,16203.51974,64014,400.7
"PGEL",3329,15633,18962,13931.58881,2026.21149,15957.8003,27891,590
"ABB",2282,7859,10141,14915.9693,844.07935,15760.04865,33260,5178
"COALINDIA",2967,7923,10890,15161.996745,528.716295,15690.71304,67989,376.25
"JUBLFOOD",1962,5908,7870,14865.0345,799.417625,15664.452125,22335,600.5
"CDSL",1867,7824,9691,14437.3191,1201.8039125,15639.1230125,37304,1617
"DELHIVERY",1587,7543,9130,14091.89355,1524.6952675,15616.5888175,16628,426
"HINDPETRO",1588,4684,6272,14830.165665,772.50834,15602.674005,28485,457.95
"ICICIGI",2316,4070,6386,14909.72925,369.1559625,15278.8852125,23961,1970
"AMBER",2067,7580,9647,14349.44558,927.64163,15277.08721,21760,7220
"HUDCO",2124,6545,8669,14264.701575,934.1496375,15198.8512125,22132,238.37
"DIVISLAB",2190,9924,12114,14259.9783,913.73191,15173.71021,43879,6461.5
"MANAPPURAM",1711,2474,4185,14704.8153,439.3716,15144.1869,19985,285.55
"BANDHANBNK",2550,8668,11218,13923.5544,994.14,14917.6944,54005,150.31
"BPCL",1913,5616,7529,13702.9175475,747.68444,14450.6019875,24571,359.2
"NMDC",2723,6657,9380,13688.35065,599.35545,14287.7061,70873,73.9
"DMART",2176,9606,11782,13184.562015,1064.030535,14248.59255,47439,3995.9
"ADANIENSOL",1836,8399,10235,12388.1495175,1388.036385,13776.1859025,33581,994
"INDIANB",1479,3618,5097,12899.0713,556.6094,13455.6807,17400,870
"RBLBANK",1310,2087,3397,13050.5742925,318.74206,13369.3163525,28796,312.5
"LICI",2004,6316,8320,12635.82782,630.03661,13265.86443,25031,893.85
"CONCOR",1924,7076,9000,12397.056,770.90225,13167.95825,46849,510.95
"KEI",1575,8520,10095,11549.7288375,1518.11891,13067.8477475,9180,4155
"RVNL",2844,7345,10189,12457.4835,547.152015,13004.635515,46394,324.1
"HDFCAMC",1558,2606,4164,12574.16592,357.8556,12932.02152,21663,2674
"GODREJPROP",2052,6344,8396,11979.646195,827.282225,12806.92842,42455,2107
"CIPLA",1976,17048,19024,11407.9188375,1299.4023,12707.3211375,57739,1530
"CGPOWER",2066,7262,9328,11915.3034,731.84626,12647.14966,30764,671.25
"NESTLEIND",1879,8012,9891,11940.77135,630.12605,12570.8974,44059,1262
"SOLARINDS",1208,5760,6968,11699.786845,750.231445,12450.01829,19324,13315
"POLYCAB",1235,7088,8323,11614.5367125,739.2860625,12353.822775,17788,7460
"UNITDSPR",1965,5405,7370,11473.04608,456.16212,11929.2082,45669,1451.1
"DRREDDY",1402,5317,6719,11047.7816875,611.368375,11659.1500625,31573,1257.4
"INOXWIND",2476,5691,8167,11008.479956099998,555.8411188,11564.3210749,38045,134.52
"CAMS",1837,6772,8609,10758.04833,779.197185,11537.245515,20930,3875.4
"BDL",2105,9122,11227,10410.7835875,1102.18066,11512.9642475,25924,1513
"MPHASIS",1378,4029,5407,10685.96782,605.3025825,11291.2704025,28700,2809
"NBCC",1385,2993,4378,10657.6691,562.31695,11219.98605,18316,116.65
"PAGEIND",1848,8098,9946,10633.5722025,557.442789,11191.0149915,22590,38100
"ICICIPRULI",1863,1827,3690,10727.489365,166.530525,10894.01989,19603,621
"POLICYBZR",1628,3672,5300,10361.381485,526.05735,10887.438835,26141,1816
"APLAPOLLO",1761,2009,3770,10650.206805,183.538355,10833.74516,23480,1719
"ZYDUSLIFE",1174,4891,6065,10005.71922,720.37755,10726.09677,17297,940.3
"PNBHOUSING",1709,4668,6377,10166.59995,486.773495,10653.373445,31132,905
"OFSS",1543,6128,7671,9461.250765,756.47166,10217.722425,27935,8102
"AMBUJACEM",1649,4884,6533,9574.37061,431.173995,10005.544605,62416,549.4
"TATAELXSI",1730,10212,11942,9006.58334,870.33202,9876.91536,31602,5155
"BRITANNIA",1264,7100,8364,9272.03145,578.2531875,9850.2846375,32414,5840.5
"360ONE",1534,5030,6564,8960.564,639.1379,9599.7019,6256,1178.4
"SIEMENS",2085,11000,13085,8735.46278,811.1176325,9546.5804125,33596,3300
"POWERINDIA",816,2560,3376,9038.75549,505.142265,9543.897755,6324,22149
"TITAGARH",1392,6151,7543,8349.51528,842.65474,9192.17002,13633,826.5
"JSWENERGY",1688,7352,9040,8262.391,653.7964,8916.1874,60635,488.75
"HAVELLS",1179,3027,4206,8510.3469,338.2524,8848.5993,22770,1443.9
"MAZDOCK",1706,5632,7338,8122.87708,570.438725,8693.315805,36509,2677.9
"FINNIFTY",172,27395,27567,3137.705247,5453.018228999999,8590.723476000001,11029,27886.9
"SONACOMS",1447,5263,6710,7809.0923925,729.6667175,8538.75911,19838,511.2
"SBICARD",1153,3637,4790,8149.38392,333.01,8482.39392,28230,880.5
"BANKINDIA",1036,1921,2957,7976.36372,271.70936,8248.07308,15159,146.84
"MAXHEALTH",1246,5526,6772,7657.72833,523.36935,8181.09768,38127,1162.2
"PPLPHARMA",1581,6060,7641,7492.077,648.275,8140.352,13794,187.49
"SYNGENE",1215,2575,3790,7893.6057,214.1481,8107.7538,11987,646.5
"PATANJALI",1493,1610,3103,7672.00806,144.29502,7816.30308,41516,566.8
"PETRONET",1411,3340,4751,6993.32452,232.54405,7225.86857,35780,272.3
"SUPREMEIND",1100,4870,5970,6583.95094,494.3851325,7078.3360725,20092,3391.8
"COLPAL",1398,3537,4935,6853.4027325,215.1746325,7068.577365,39603,2167
"IRCTC",1069,4569,5638,6449.760625,336.6755,6786.436125,35730,686.5
"DABUR",990,4095,5085,6424.974875,321.512875,6746.48775,23552,518.6
"NAUKRI",1257,4380,5637,6300.9069,365.694375,6666.601275,29382,1330.8
"PIDILITIND",881,1179,2060,6511.0579,102.4554,6613.5133,16882,1472
"TORNTPHARM",691,650,1341,6475.313725,80.135075,6555.4488,12156,3712.1
"OBEROIRLTY",1055,3384,4439,6131.41207,319.72885,6451.14092,17499,1649
"SHREECEM",940,2455,3395,6254.8084125,186.289755,6441.0981675,14176,26420
"UNOMINDA",847,2675,3522,6108.455925,330.491535,6438.94746,11473,1314
"TATATECH",1113,3161,4274,6078.48376,210.78048,6289.26424,20874,678
"CYIENT",1224,3284,4508,5862.54996,369.3056625,6231.8556225,14255,1123
"LICHSGFIN",1028,3244,4272,5694.1161,208.2508,5902.3669,48256,550
"ALKEM",798,1691,2489,5723.6987875,171.3899,5895.0886875,14140,5677.5
"OIL",938,2427,3365,5452.78748,255.30064,5708.08812,11478,413
"HFCL",1136,3343,4479,5204.51016,431.798475,5636.308635,26026,70.26
"PRESTIGE",708,2081,2789,5360.05647,252.0792,5612.13567,12470,1673
"NCC",1063,4423,5486,4972.73526,359.29413,5332.02939,17362,171.34
"PIIND",824,2465,3289,4935.3960425,198.7517,5134.1477425,18944,3395
"KPITTECH",960,3529,4489,4731.549575,365.3089025,5096.8584775,11936,1221.5
"MANKIND",971,1933,2904,4943.44719,117.308655,5060.755845,13574,2250.9
"CROMPTON",984,3656,4640,4743.60912,208.50228,4952.1114,42593,265.6
"BOSCHLTD",504,1756,2260,4600.3872275,173.0943825,4773.48161,12343,36075
"PHOENIXLTD",632,1531,2163,3870.49656,136.331335,4006.827895,13825,1732.6
"DALBHARAT",576,867,1443,3790.952035,85.42014,3876.372175,9365,2010
"IREDA",736,2518,3254,3651.020805,193.000245,3844.02105,19911,142.99
"TORNTPOWER",739,1270,2009,3693.260175,138.7031875,3831.9633625,10178,1315
"IRFC",672,3553,4225,3373.545025,278.556475,3652.1015,18563,117.3
"KFINTECH",641,2443,3084,3087.70081,154.4076,3242.10841,10168,1058
"NHPC",616,2585,3201,3043.90848,191.76192,3235.6704,17030,76.65
"BLUESTARCO",459,1568,2027,2645.13171,91.7525375,2736.8842475,6965,1766
"NIFTYNXT50",93,395,488,1617.9235125,89.646495,1707.5700075,1210,69149.7