event_time,close,sPos,sNeg,trigger
2024-02-09,803.2775268555,0.0,0.0,-1
2024-02-28,790.2647705078,0.0,0.0,-1
2024-03-01,827.4723510742,0.0,0.0,1
2024-03-06,804.4155883789,0.0,0.0,-1
2024-03-13,784.6737670898,0.0,0.0,-1
2024-03-18,796.0042724609,0.0,0.0,1
2024-03-22,816.1912841797,0.0,0.0,1
2024-04-01,862.8492431641,0.0,0.0,1
2024-04-05,848.1541748047,0.0,0.0,-1
2024-04-10,874.7239990234,0.0,0.0,1
2024-04-15,851.4692382812,0.0,0.0,-1
2024-04-24,873.4869995117,0.0,0.0,1
2024-04-25,896.3458862305,0.0,0.0,1
2024-04-30,872.9922485352,0.0,0.0,-1
2024-05-07,848.401550293,0.0,0.0,-1
2024-05-09,825.8395385742,0.0,0.0,-1
2024-05-13,851.6176147461,0.0,0.0,1
2024-05-16,877.1484375,0.0,0.0,1
2024-05-21,913.811706543,0.0,0.0,1
2024-05-30,874.4766235352,0.0,0.0,-1
2024-06-03,905.7467041016,0.0,0.0,1
2024-06-04,833.0633544922,0.0,0.0,-1
2024-06-05,869.2319335938,0.0,0.0,1
2024-06-07,902.6296386719,0.0,0.0,1
2024-06-21,927.1213378906,0.0,0.0,1
2024-06-27,933.3060913086,0.0,0.0,1
2024-07-05,944.0922851562,0.0,0.0,1
2024-07-11,922.5158081055,0.0,0.0,-1
2024-07-19,887.0612792969,0.0,0.0,-1
2024-07-26,898.1314697266,0.0,0.0,1
2024-07-31,925.7570800781,0.0,0.0,1
2024-08-02,897.1341552734,0.0,0.0,-1
2024-08-05,861.4801635742,0.0,0.0,-1
2024-08-07,904.015625,0.0,0.0,1
2024-08-12,914.8863525391,0.0,0.0,1
2024-08-14,887.908996582,0.0,0.0,-1
2024-08-19,915.2852783203,0.0,0.0,1
2024-08-23,938.5227050781,0.0,0.0,1
2024-08-26,960.9124145508,0.0,0.0,1
2024-08-29,937.1763305664,0.0,0.0,-1
2024-09-12,952.2357788086,0.0,0.0,1
2024-09-19,945.8529663086,0.0,0.0,-1
2024-09-20,978.9139404297,0.0,0.0,1
2024-09-26,1002.8494873047,0.0,0.0,1
2024-09-30,1027.2836914062,0.0,0.0,1
2024-10-08,995.5192260742,0.0,0.0,-1
2024-10-16,986.6929931641,0.0,0.0,-1
2024-10-22,961.0620117188,0.0,0.0,-1
2024-10-28,964.65234375,0.0,0.0,1
2024-11-05,996.8157348633,0.0,0.0,1
2024-11-11,976.3707885742,0.0,0.0,-1
2024-11-12,954.6791992188,0.0,0.0,-1
2024-11-22,974.7252197266,0.0,0.0,1
2024-11-25,950.7398071289,0.0,0.0,-1
2024-12-02,987.141784668,0.0,0.0,1
2024-12-09,1009.182434082,0.0,0.0,1
2024-12-16,987.6903076172,0.0,0.0,-1
2024-12-17,964.2534179688,0.0,0.0,-1
2024-12-19,923.4632568359,0.0,0.0,-1
2024-12-26,911.994140625,0.0,0.0,-1
2025-01-09,888.5572509766,0.0,0.0,-1
2025-01-14,903.6166992188,0.0,0.0,1
2025-01-21,924.3608398438,0.0,0.0,1
2025-01-30,948.2963867188,0.0,0.0,1
2025-02-07,978.1160888672,0.0,0.0,1
2025-02-11,951.9365844727,0.0,0.0,-1
2025-02-18,976.1713256836,0.0,0.0,1
2025-02-25,956.1751708984,0.0,0.0,-1
2025-02-28,948.1467895508,0.0,0.0,-1
2025-03-03,973.4287109375,0.0,0.0,1
2025-03-05,1000.0071411133,0.0,0.0,1
2025-03-19,1030.5748291016,0.0,0.0,1
2025-03-21,1055.8566894531,0.0,0.0,1
2025-04-04,1003.0489501953,0.0,0.0,-1
2025-04-07,927.801574707,0.0,0.0,-1
2025-04-08,952.036315918,0.0,0.0,1
2025-04-11,987.5905761719,0.0,0.0,1
2025-04-21,1031.2230224609,0.0,0.0,1
2025-04-28,1051.568359375,0.0,0.0,1
2025-04-30,1027.0344238281,0.0,0.0,-1
2025-05-02,964.9016723633,0.0,0.0,-1
2025-05-12,1002.5004272461,0.0,0.0,1
2025-05-15,1035.5115966797,0.0,0.0,1
2025-05-20,1009.9802856445,0.0,0.0,-1
2025-05-26,1029.5277099609,0.0,0.0,1
2025-05-28,998.311706543,0.0,0.0,-1
2025-06-02,976.1713256836,0.0,0.0,-1
2025-06-06,1002.2012329102,0.0,0.0,1
2025-06-18,983.7010498047,0.0,0.0,-1
2025-06-25,1021.6986694336,0.0,0.0,1
2025-07-02,1057.0535888672,0.0,0.0,1
2025-07-15,1035.0,0.0,0.0,-1
2025-08-04,1055.9000244141,0.0,0.0,1
2025-08-18,1079.8000488281,0.0,0.0,1
2025-08-22,1054.5999755859,0.0,0.0,-1
2025-08-28,1035.8000488281,0.0,0.0,-1
2025-09-03,1072.1999511719,0.0,0.0,1
2025-09-08,1101.4000244141,0.0,0.0,1
2025-09-18,1121.0999755859,0.0,0.0,1
2025-09-24,1149.0999755859,0.0,0.0,1
2025-09-29,1122.1999511719,0.0,0.0,-1
2025-10-01,1146.0999755859,0.0,0.0,1
2025-10-09,1175.1999511719,0.0,0.0,1
2025-10-14,1147.8000488281,0.0,0.0,-1
2025-10-16,1172.0999755859,0.0,0.0,1
2025-10-20,1145.1999511719,0.0,0.0,-1
2025-10-28,1184.1999511719,0.0,0.0,1
2025-10-29,1207.9000244141,0.0,0.0,1
2025-11-04,1181.4000244141,0.0,0.0,-1
2025-11-11,1191.5,0.0,0.0,1
2025-11-14,1167.8000488281,0.0,0.0,-1
2025-11-21,1140.3000488281,0.0,0.0,-1
2025-11-24,1106.0,0.0,0.0,-1
2025-11-26,1154.4000244141,0.0,0.0,1
2025-12-03,1143.5999755859,0.0,0.0,-1
2025-12-08,1119.0999755859,0.0,0.0,-1
2025-12-10,1096.8000488281,0.0,0.0,-1
2025-12-12,1125.5,0.0,0.0,1
2025-12-16,1082.5999755859,0.0,0.0,-1
2025-12-30,1111.5999755859,0.0,0.0,1
2025-12-31,1164.8000488281,0.0,0.0,1
2026-01-07,1189.8000488281,0.0,0.0,1
2026-01-08,1155.9000244141,0.0,0.0,-1
2026-01-12,1182.6999511719,0.0,0.0,1
2026-01-20,1160.0,0.0,0.0,-1
2026-01-22,1184.4000244141,0.0,0.0,1
2026-01-27,1222.0,0.0,0.0,1
2026-01-30,1214.4000244141,0.0,0.0,-1
2026-02-03,1229.4000244141,0.0,0.0,1
